Index,left,Localizers,"zai 'at, in'",right,verb,Verb class,Newness_Theme,Newness_Location,definiteiniteness_Theme,Heaviness,Heaviness_differences,Animacy_Theme,Animacy_Location,Animacy_Location_minorClass,Animacy_Theme_minorClass,Construction_trichotomy,Construction,备注: 住(驻扎，驻)有关的词都从posture变成existence
397,"<s> 皇上从漪澜堂上龙舟渡到了对面五龙亭，看过了小西天，然后到万佛楼上进御膳。一 进门 , 看见 院子 [ [ [",里,摆,"着 ] ] ] 两 桶 马蔺 , 皇上 心里 一动 , 想 拿 这个 找 刘墉 的 毛病 , 用 手 一 指 : "" 刘爱... 【 文件名 : \ 当代 \ 相声 小品 \ 中国 传统 相声 大 全 . </s>",摆,verbs of placement,new,new,indefinite,Location=Theme,-1,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
399,"<s> 室内 有 一些 破旧 的 家具 : 一 张 四 方桌 , 一 个 长 条凳 , 靠 角落 [ [ [",里,摆,着 ] ] ] 一 张 床 。 </s>,摆,verbs of placement,new,new,indefinite,Location=Theme,1,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
400,"<s> txt 文章 标题 : 作者 : 】 3539 : 农行常州市分行营业部，今年３月份与郊区支行分开后, 新建 、 改造 了 10 个 分理处 , 6 个 储蓄所 , 全部 是 室 [ [ [",内,摆,"着 ] ] ] 电脑 , 室外 站 着 柜员机 , 新增 了 1500 个 对公 帐户 , 8 个 月 是 分开 前 ... 【 文件名 : \ 当代 \ 报刊 \ 1994年 报刊 精选 \ 12 . </s>",摆,verbs of placement,new,new,indefinite,Location=Theme,,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
484,<s> 中国的菜本来讲究色、香、味，后来有人加了个型，即菜的外形、造型。这一加就有文章了，全国各地大搞形式主义。冷盆里摆出一条金鱼，一只蝴蝶，用萝卜雕成玫瑰，用南瓜雕成凤凰等等，厨师如果不会雕刻，那就上不了等级。某次有人请我吃饭， 席面 [ [ [,上,摆,"着 ] ] ] 一 只用 南瓜 雕成 的 凤凰 , 那 南瓜 是 生 的 ( 当然 是 生 的 ) , 不 能 吃 。 </s>",摆,verbs of placement,new,new,indefinite,Location<Theme,-7,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
486,<s>他们吃过饭后天已经快黑了。邵红娇刷碗，亮铜就蹭到她住的屋子去。一进去他就闻到了一股温馨的气味，便以为屋子里栽了花，仔细看看，并无花，便有些奇怪。 炕 [ [ [,上,摆,"着 ] ] ] 一 床 蓝花布 的 棉被 , 两 个 圆鼓鼓 的 枕头 挨 在 被子 旁 。 </s>",摆,verbs of placement,new,new,indefinite,Location<Theme,-6,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
488,"<s> TXT 文章 标题 : 一百 个 人 的 十 年 作者 : 】 23046 : ... 天 我 发现 了 这 家 商店 , 当时 它 过 了 营业 时间 , 锁 了 门 , 可 我 看 它 橱窗 [ [ [",里,摆,"着 ] ] ] 好几 只 多 桅帆船 , 标价 都 不 算贯 , 我 早 想 抱 只 西洋 风味 十足 的 多 桅帆船 ... 【 文件名 : \ 当代 \ 文学 \ 大陆 作家 \ 刘心武 短 篇 . </s>",摆,verbs of placement,new,new,indefinite,Location<Theme,-4,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
490,"<s> txt 文章 标题 : 作者 : 】 4782 : 同公共卫生不良的情况成为鲜明对比的是，这里的家庭卫生是非常好的。走到 每 一 家 , 都 见到 门[[[",前,摆,着 ] ] ] 若干 双 拖鞋 。 </s>,摆,verbs of placement,new,new,indefinite,Location<Theme,-3,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
578,<s> 女人：“小舅说他出村不远，就觉得天忽地变了，阴森森的，头顶上的星星一颗不见，一片糊黑，风也刮起来了，吹起砂石和树叶不住打他的脸。没过多会儿，他就迷路了，怎么也找不到两村中间那道河了。这时他看见黑暗中有一道亮光，就朝亮光走去，走到近前，看见一个人提着一盏灯笼站在那里，借灯笼的亮光，他看见提灯笼的人脸色煞白，像糊了张白纸，又像抹了一层白粉。他倒也没害怕，问：你在这儿等谁？白脸人说等你。他问：等我干哈？白脸人说是你爹叫我来领你。他虽然醉得不成样子，可心里还有一线清楚，想我爹不是死了么？怎么又回阳世了呢？没等他想明白，又听白脸人说跟着我，踏着我的脚窝走，一步不能偏，否则就到不了你爹那儿。说毕白脸人便打着灯笼朝前走去，他就紧跟着，照白脸人说的紧踏着他的脚窝走。他好生奇怪，白脸人走起路来一点声音都没有，身子轻得像在地面上飘。走了不到半个时辰，他看见前面出现了一座大房子，从门窗往外透出灯光。白脸人一直把他领到大房子前，对他说：“进去吧，你爹在里面。他就撇开白脸人向大房子走。刚踏进门槛，只听里面飘出声音：是回么？进来吧。小舅吓了一跳，回是他的小名，声音也听得真切，是我姥爷。他赶紧抬头，一眼看见姥爷坐在屋正中一张八仙桌旁，姥姥坐在姥爷对面。八仙桌 [ [ [,上,摆,"着 ] ] ] 许多 吃食 , 有 饽饽 、 饺子 、 鱼 、 肉 和 瓜果 梨枣 。 </s>",摆,verbs of placement,new,given,indefinite,Location=Theme,,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
352,"<s> txt 文章 标题 : 作者 : 】 188 02 : 日记本 上 一 支 笔 "" 唰唰 "" 写完 了 最后 几 个 字 , 桌子 [ [ [",上,摆放,着 ] ] ] 张一凡 和 妈妈 的 合影 ( 高仓健 的 照片 没有 了 ) 。 </s>,摆放,verbs of placement,new,new,definite,Location<Theme,-6,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
394,"<s> txt 文章 标题 : 作者 : 】 53 19 : 拉萨 八廓街 , 许多 人家 的 窗台 [ [ [",上,摆放,着 ] ] ] 一 盆 寸许 长 的 青稞 苗 。 </s>,摆放,verbs of placement,new,new,indefinite,Location=Theme,-1,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
480,"<s> txt 文章 标题 : 作者 : 】 11498 : 在与中央大街垂直的3条辅街上,近1万平方米的范围内保留着欧洲风格建筑群落,分属于“文艺复兴式”、“巴洛克式”、“折衷主义”和“新艺术运动”等艺术流派。这些建筑群落多建于20世纪初期,里面曾一度居住着来自俄国、德国、法国、英国、意大利等国的侨民, 商店 的 厨窗 [ [ [",里,摆放,着 ] ] ] 俄国 的 毛皮 、 法国 的 香水 、 美国 的 洋油 以及 爪哇 的 砂糖 。 </s>,摆放,verbs of placement,new,new,indefinite,Location<Theme,-16,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
481,"<s> 同时 , 市场 上 常常 能 发现 低劣 的 进口 影碟 , 书摊 [ [ [",上,摆放,"着 ] ] ] 以 暴力 、 色情 取胜 的 低级 畅销 译著 和 卡通 , 打 着 外国 标志 的 "" 保健 药品 ... 【 文件名 : \ 当代 \ 报刊 \ 新华社 \ 新华社 2002年 3月份 新闻 报道 . </s>",摆放,verbs of placement,new,new,indefinite,Location<Theme,-14,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
485,"<s> txt 文章 标题 : 作者 : 】 1658 : 这天，元隆 商行 红灯 高挂 , 彩幅 高悬 , 店堂 里 播放 着 美国 的 歌曲 , 货架 拒 台 [ [ [",上,摆放,"着 ] ] ] 具有 美国 消费 特色 的 商品 , 导购 小姐 、 导购 先生 身披 烫金 大红 绶带 , 笑 ... 【 文件名 : \ 当代 \ 报刊 \ 1994年 报刊 精选 \ 06 . </s>",摆放,verbs of placement,new,new,indefinite,Location<Theme,-6,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
494,"<s> 杨增建是在拉萨打工的四川人,他租的两间平房虽有些简陋,但院内挂着的红灯笼和房门上贴着的对联,都为节日增添了不少喜庆的气息。客厅 的 方木桌 [ [ [",上,摆放,"着 ] ] ] 糖果 和 饮料 , 电视 里 播放 着 春节 联欢 晚会 , 厨房 里杨 增建 全家人 与 亲朋 ... 【 文件名 : \ 当代 \ 报刊 \ 新华社 \ 新华社 2003年 2月份 新闻 报道 . </s>",摆放,verbs of placement,new,given,indefinite,Location>Theme,2,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
495,<s> ７时整，红十字会采血人员准备工作就绪。志愿献血者分批进入电台门厅，称体重、量身高，填个人资料表格。走上二楼，记者看到二楼办公室全部腾空，临时改成了采血病房、大夫诊室和休息室。９间“临时病房”里各安放了两三张供采血用的活动病床，休息室 [ [ [,里,摆放,"着 ] ] ] 沙发 , 备有 牛奶 、 面包 等 食品 。 </s>",摆放,verbs of placement,new,given,indefinite,Location>Theme,2,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
530,"<s> txt 文章 标题 : 作者 : 】 305 6 : ... 悼 会场 庄严 肃穆 , 两 位 烈士 的 灵柩 上 覆盖 着 中华 人民 共和国 国旗 , 两 [ [ [",旁,摆放,着 ] ] ] 中国国防部、中国人民解放军总参谋部和我驻柬全国最高委员会代表处及我驻柬各机构的花圈。,摆放,verbs of placement,new,given,definite,Location<Theme,-37,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
696,"<s> txt 文章 标题 : 作者 : 】 188 69 : 周国 正 家 的 院子 里 摆 了 许多 小凳子 和 一 张 低矮 的 老式 农家 饭桌 , 饭桌 [ [ [",上,摆放,"着 ] ] ] 两 个 暖瓶 和 十几 个 玻璃 茶杯 , 丁元英 的 烟 和 打火机 放 在 饭桌 的 一 角 。 </s>",摆放,verbs of placement,new,given,indefinite,Location<Theme,-9,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
703,<s> txt 文章 标题 : 作者 : 】 73 14 :在一个供6—12岁儿童参观活动的“科学发现室”里，墙壁和展台上展出许多实物标本，如大鳄鱼皮、蟒蛇、人体骨骼、牛骨骼、鸟、大鱼等；展台上还有潜艇模型、太阳系模型、计算机、古旧的管风琴、鼓等多种多样的收藏品; 地 [ [ [,上,摆放,"着 ] ] ] 大 磁铁 、 105 个 年轮 的 大 木头 、 石英石 、 一 条 捕 龙虾 的 小船 , 真 可 谓 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 2000年 人民 日报 \ 2000年 人民 日报 . </s>",摆放,verbs of placement,new,given,indefinite,Location<Theme,-20,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
707,<s> txt 文章 标题 : 作者 : 】 3900 : 训练局荣誉室陈列着革命前辈亲切接见运动员的照片和历代运动员为国争光的图片。荣誉室 [ [ [,内,摆放,着 ] ] ] 一 个 个 闪光 的 金杯 、 奖牌 。 </s>,摆放,verbs of placement,new,given,indefinite,Location<Theme,-6,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
266,<s> txt 文章 标题 : 作者 : 】 16996 : 他 手 [ [ [,里,摆弄,"着 ] ] ] 笔 , 一时 没有 说话 。 </s>",摆弄,verbs of activity,new,given,indefinite,Location>Theme,2,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
423,"<s> 自然环境的恶劣使这个革命老区长期以来经济落后。１９９２年全县农村人均收入仅４２６元，全县乡村有１０００多间“黑屋子、土台子”的教室，１１个乡镇有１／３的村子连校舍都没有。与教育落后相伴随的是人才和技术的匮乏。前 几 年 , 县 [ [ [",里,办,"了 ] ] ] 一 个 纱厂 , 可 连 一 个 中专 学历 的 人 都 没有 , 只好 到 外地 找 人才 、 找 技术 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1996年 人民 日报 \ 1月份 . </s>",办,verbs of activity,new,given,indefinite,Location<Theme,-2,inanimate,animate,organization,concrete,Locative inversion,Locative inversion,
104,"尚书省乃唐代中央政府组织最庞大的机构，其建筑亦相当庞大。总办公厅名为""都堂""，两旁为左右两厢，吏户礼三部在左，兵刑工三部在右。由左右仆射分领。每部分四司，六部共二十四司。每部之第一司即为本司，如吏部之第一司为吏部司是。其余各司各有名称。 尚 书 省 各 部 主管 , 上午 [",,在," ] 都 堂 集体 办公 , 遇事 易于 洽商 , 下午 各 归 本部 分别 办公 。 如 有 "" 参知 机务 "" 或 "" 同 平章 事 "" 衔 者 , 可 去 政事堂 出席 最高 政事 会议 。 无 此 等 衔者 , 则 专 [ 在 ] 本",办公,verbs of activity,given,given,definite,Location<Theme,-4,animate,inanimate,place,human,uninversted sentence (PreLocPs),uninverted sentence,
780,"<s> txt 文章 标题 : 作者 : 】 31793 : ... 个 是 张立根 , 粗粗 实实 的 中等 个 是 张金锁 , 都 反 穿 着 棉裤 、 棉袄 , 头 [ [ [",上,包,着 ] ] ] 白 毛巾 。 </s>,包,verbs of attachment,new,given,indefinite,Location=Theme,-1,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
589,"<s> 自从 孩子 抱病 以后 , 自然 也 得分 一点 心 去 看护 , 黯黄 的 灯光 下 , 对着 ... 【 文件名 : \ 现代 \ 文学 \ 散文 2.TXT 文章 标题 : 心上 的 暗影 作者 : 】 24 267 : 不 耐烦 的 神气 [ [ [",里,包藏,"着 ] ] ] 一 颗 杀人 的 心 , 但 有 什么 办法 呢 ? </s>",包藏,verbs of holding or containing,new,given,indefinite,Location=Theme,1,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
287,同义词的各个意义所概括反映的现实现象必须是相同的，或者基本上相同的。用图形表示，大体如1和2。 图 3 的 乙 包含 [,,在,"] 甲 里头 , 甲 和 乙 就 没有 同义 关系 。 </s><s> 这 就是说 , 指称 大 类 事物 的 词 和 指称 大 类 事物 中 某 一 小 类 的 词 , 例如 英语 的 "" man "" 和 "" boy "" , 汉语 的 "" 蔬菜 "" 和 "" 白菜 "" , 或者 指称 整体 的 词 和 指称 整体 中 的 一 部分 的 词 , 例如 汉语 的 "" 房子 "" 和 "" 屋子 "" , 都 不 是 同义词 。 </s><s> 词义 包含 理性 意义 和 附加 色彩 两 方面 。 </s><s> 同义词 的 "" 同",包含,verbs of holding or containing,new,new,definite,Location=Theme,,inanimate,inanimate,concrete,concrete,uninversted sentence (PostLocPs),uninverted sentence,
323,<s> 你读过莎士比亚的《暴风雨》吗？那 [ [ [,里,包含,着 ] ] ] 这 位 伟大 艺术家 的 全部 哲学 。 </s>,包含,verbs of holding or containing,given,given,definite,Location<Theme,-10,inanimate,inanimate,concrete,nonconcrete,Locative inversion,Locative inversion,
333,"<s> txt 文章 标题 : 作者 : 】 8584 : ... 销 理论 , 服务 是 商品 销售 的 重要 组成 部分 , 即 购买者 支付 的 商品 价格 [ [ [",里,包含,着 ] ] ] 一定 的 服务 费用 。 </s>,包含,verbs of holding or containing,new,new,indefinite,Location>Theme,4,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
588,"<s> txt 文章 标题 : 作者 : 】 23522 : 比如，某种商品价格为１００元。旧 税制 情况 下 , 100 元 的 价格 [ [ [",内,包含,"了 ]]] 14·5 元 的 税款 , 即 商品 的 实际 价格 为 100 - 14·5=85·5... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1994年 人民 日报 \ 第1 季度 . </s>",包含,verbs of holding or containing,new,given,indefinite,Location=Theme,1,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
764,<s> TXT 文章 标题 : 作者 : 】 933 : 动物 的 生存 竞争 使 它们 之 [ [ [,间,保持,"着 ] ] ] 自然 的 动态 平衡 , 这 对于 生物 的 进化 和 物种 的 延续 都 具有 重要 意义 。 </s>",保持,verbs of existence,new,given,indefinite,Location<Theme,-3,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
312,"<s> txt 文章 标题 : 作者 : 】 10179 : 当地文化站站长陈晓阳介绍说,当年整个土司皇城共分为政治、宗教、军事、文化、经济、综合、娱乐和墓葬八大区域,建有衙署、官言堂、钱库、月台、书院、御花园、营房、宗祠等建筑,以及8大寺院、36箍井等。历经200多年的风雨侵蚀,村子里仍然可以看到部分建筑的地基围墙的遗迹,让人联想起当年土司城内民丁南来北往,大小商贾忙于作坊店馆之间的繁华景象。村 东边 唐崖 河岸 边 的 罩 马亭 [ [ [",里,保存,"着 ] ] ] 一 对 石人 、 石马 , 相传 是 土司 覃鼎 的 马夫 和 座 骑 , 其中 一 石 人人 头 虽 毁 ... 【 文件名 : \ 当代 \ 报刊 \ 新华社 \ 新华社 2002年 1月份 新闻 报道 . </s>",保存,verbs of placement,new,new,indefinite,Location>Theme,7,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
467,<s>退出大本营之后，回到自己家里以前，米达麦亚前往玛林道夫伯爵家拜访。而 海 因 里 希少 年 手 [ [ [,里,抱,"着 ] ] ] 罗严塔尔 所 遗留 下来 的 孩子 , 也 随同 前往 。 </s>",抱,verbs of holding or containing,new,new,definite,Location<Theme,-4,animate,animate,body-part,human,Locative inversion,Locative inversion,
813,"<s> 同学 里 大部分 都 结婚 了 , 莫 朴树 进来 时 , 倪 小麦 的 手[[[",上,抱,着 ] ] ] 一 个 孩子 。 </s>,抱,verbs of holding or containing,new,given,indefinite,Location=Theme,1,animate,animate,body-part,human,Locative inversion,Locative inversion,
436,<s> txt 文章 标题 : 作者 : 】 45782 : 驾驭我军装甲部队最新装备，担任加强坦克连进攻的主要指挥员就是袁东伟。近年 来 世界 [[[,上,爆发,"了 ] ] ] 几 场 局部 战争 , 发达 国家 军队 的 精确 制导 武器 、 电子 装备 、 夜视 器材 、 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1998年 人民 日报 \ 1998年 人民 日报 . </s>",爆发,verbs of (dis)appearance,new,new,indefinite,Location<Theme,-3,inanimate,inanimate,place,nonconcrete,Locative inversion,Locative inversion,
360,"<s> ""慈善家先生！你也还应该懂得这一点：我不是一个来历不明的人，我！我不是一个那种没名没姓跑到人家家里去拐带孩子的人！我是一个法兰西的退伍军人，我本应得到一个勋章！我参加过滑铁卢战役，我！我在那次战斗中救出过一个叫做什么伯爵的将军！他曾把他的名字告诉我；但是他那狗声音是那么小，因而我没有听清楚。我只听到什么""眉胥""①。我宁愿知道他的名字，不在乎他谢不谢。知道了名字，我便有办法找到他。你看见的这张油画是大卫在布鲁克塞尔②画的，你知道他画的是谁吗？他画的是我。大卫要让这一英勇事迹永垂不朽。我 背 [ [ [",上,背,"着 ]] ] 那 位 将军 , 把 他 从 炮火 中 救 出来 。 </s>",背,verbs of holding or containing,given,given,definite,Location=Theme,-1,animate,animate,body-part,human,Locative inversion,Locative inversion,
451,"<s> txt 文章 标题 : 作者 : 】 13539 : 我们 来到 水碓子 小学 门口 , 三 年级 ( 2 ) 班 的 董健 和 寇晓 每 人 肩 [ [ [",上,背,"了 ] ] ] 一 个 大 书包 , 正 朝 学校 走来 。 </s>",背,verbs of holding or containing,new,new,indefinite,Location>Theme,11,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
